accession	name_in_vcf	include_in_map	include_in_network	include_in_admixture	admixture_expanded	big_admix?	selection_scan_pop	admix_pop	network_color	population	latitude	longitude	ploidy_man_curated	nquire_ploidy	proportion_het%_NT1fin	Nb_S_groups_DB2022_man_curated	Species_fin	source	source_type	experimentaly_validated	snps_(2n)	collector,_comments	admix	twisst_Siberia	selection_test	est-sfs	demographic_modeling_pops							
TE_3.9-1	TE_3.9-1	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_3.9-2	TE_3.9-2	yes	yes	no	no	yes	LE_2n	TE3	blue	LE_2n	68.72591	77.74032	2	2	0,40	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.10-1	TE_4.10-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,36	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.10-2	TE_4.10-2	yes	yes	yes	yes	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,37	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.11-1	TE_4.11-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.11-2	TE_4.11-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	4	0,56	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.2-1	TE_4.2-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.2-2	TE_4.2-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.3-1	TE_4.3-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.3-2	TE_4.3-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.4-1	TE_4.4-1	yes	yes	yes	yes	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,33	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.4-2	TE_4.4-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.5-1	TE_4.5-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,41	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.5-2	TE_4.5-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.6-1	TE_4.6-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.6-2	TE_4.6-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,42	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.7-1	TE_4.7-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	3	0,48	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.8-1	TE_4.8-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.8-2	TE_4.8-2	yes	yes	yes	yes	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.9-1	TE_4.9-1	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_4.9-2	TE_4.9-2	yes	yes	no	no	yes	LE_2n	TE4	blue	LE_2n	68.79245	77.68399	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.1-1	TE_5.1-1	yes	yes	yes	yes	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.1-2	TE_5.1-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.10-1	TE_5.10-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.10-2	TE_5.10-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.2-1	TE_5.2-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,31	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.2-2	TE_5.2-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.3-1	TE_5.3-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.3-2	TE_5.3-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.4-1	TE_5.4-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.4-2	TE_5.4-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,30	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.5-1	TE_5.5-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.5-2	TE_5.5-2	yes	yes	yes	yes	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.6-1	TE_5.6-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.6-2	TE_5.6-2	yes	yes	yes	yes	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.7-1	TE_5.7-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.7-2	TE_5.7-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.8-1	TE_5.8-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.8-2	TE_5.8-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.9-1	TE_5.9-1	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_5.9-2	TE_5.9-2	yes	yes	no	no	yes	LE_2n	TE5	blue	LE_2n	68.79682	77.68553	2	3	0,32	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_6.1-1	TE_6.1-1	yes	yes	yes	yes	yes	LE_2n	TE6	blue	LE_2n	68.79633	77.75588	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_6.1-2	TE_6.1-2	yes	yes	no	no	yes	LE_2n	TE6	blue	LE_2n	68.79633	77.75588	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_6.2-1	TE_6.2-1	yes	yes	yes	yes	yes	LE_2n	TE6	blue	LE_2n	68.79633	77.75588	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_6.2-2	TE_6.2-2	yes	yes	no	no	yes	LE_2n	TE6	blue	LE_2n	68.79633	77.75588	2	3	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.1-1	TE_7.1-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.1-2	TE_7.1-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.2-1	TE_7.2-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,43	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.2-2	TE_7.2-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.3-1	TE_7.3-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,41	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.3-2	TE_7.3-2	yes	yes	yes	yes	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,41	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.4-1	TE_7.4-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.4-2	TE_7.4-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.5-1	TE_7.5-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.5-2	TE_7.5-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.6-1	TE_7.6-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.6-2	TE_7.6-2	yes	yes	yes	yes	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	3	0,31	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.7-1	TE_7.7-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.7-2	TE_7.7-2	yes	yes	yes	yes	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.8-1	TE_7.8-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.8-2	TE_7.8-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.9-1	TE_7.9-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7.9-2	TE_7.9-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	3	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7mix-1	TE_7mix-1	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	2	0,40	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_7mix-2	TE_7mix-2	yes	yes	no	no	yes	LE_2n	TE7	blue	LE_2n	68.79345	77.78109	2	3	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.1-1	TE_8.1-1	yes	yes	yes	yes	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,32	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.1-2	TE_8.1-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	3	0,29	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.10-1	TE_8.10-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	4	0,28	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.10-2	TE_8.10-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.2-1	TE_8.2-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.2-2	TE_8.2-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,37	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.3-1	TE_8.3-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,39	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.3-2	TE_8.3-2	yes	yes	yes	yes	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,36	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.4-1	TE_8.4-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,34	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.4-2	TE_8.4-2	yes	yes	yes	yes	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	4	0,34	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.5-1	TE_8.5-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.5-2	TE_8.5-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,30	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.6-1	TE_8.6-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,34	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.6-2	TE_8.6-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,38	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.7-1	TE_8.7-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,35	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.7-2	TE_8.7-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.8-1	TE_8.8-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,41	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.8-2	TE_8.8-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,35	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.9-1	TE_8.9-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,33	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8.9-2	TE_8.9-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,38	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8mix-1	TE_8mix-1	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,31	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_8mix-2	TE_8mix-2	yes	yes	no	no	yes	LE_2n	TE8	blue	LE_2n	68.86441	77.6911	2	2	0,33	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_9.1-1	TE_9.1-1	yes	yes	yes	yes	yes	LE_2n	TE9	blue	LE_2n	68.91428	77.66211	2	2	0,30	2	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
TE_9.1-2	TE_9.1-2	yes	yes	yes	yes	yes	LE_2n	TE9	blue	LE_2n	68.91428	77.66211	2	3	0,27	1	A._lyrata	YANAO_2021	seeds			Nikita_Tikhomirov,_Uliana_Kolesnikova		PUWS_2n			PUD							
WS_1.1-1	WS_1.1-1_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,75	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.1-2	WS_1.1-2_4n	yes	yes	yes	yes	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,65	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.2-1	WS_1.2-1_4n	yes	yes	yes	yes	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,64	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.2-2	WS_1.2-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,60	1	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.3-1	WS_1.3-1_4n	yes	yes	yes	yes	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,71	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.3-2	WS_1.3-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,57	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.4-1	WS_1.4-1_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,61	3	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.4-2	WS_1.4-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,64	3	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.5-1	WS_1.5-1_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,64	1	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.5-2	WS_1.5-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,63	4	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.6-1	WS_1.6-1_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,70	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.6-2	WS_1.6-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,63	1	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.7-1	WS_1.7-1_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,68	1	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
WS_1.7-2	WS_1.7-2_4n	yes	yes	no	no	yes	PUWS_4n	WS	pink	PUWS_4n	66.53735	34.50509	4	4	0,49	2	A._lyrata	WS_2021	seeds			Dayana_Zhernova		PUWS_4n		PUWS_4n	PUT							
SRR2040778	SRR2040778	no	no	no	no				exclude	croatica							A._croatica							outgroup		outgroup1								
SRR2040779	SRR2040779	no	no	no	no				exclude	croatica							A._croatica							outgroup		outgroup1								
SRR2040802	SRR2040802	no	no	no	no				exclude	pedemontana							A._pedemontana							outgroup		outgroup2								
SRR2040803	SRR2040803	no	no	no	no				exclude	pedemontana							A._pedemontana							outgroup		outgroup2						outgroup		outgroup2
